MRT,latitude,longitude
Serangoon MRT Station,1.35063361526525,103.872771660431
Kovan MRT Station,1.36017917065237,103.885064856353
Hougang MRT Station,1.37129226620797,103.892380513029
Buangkok MRT Station,1.38287001971672,103.893122569706
Sengkang MRT Station,1.39169462601522,103.895484694279
Punggol MRT Station,1.41492733388605,103.910166388177
Bras Basah MRT Station,1.29686168649656,103.850667371637
Esplanade MRT Station,1.2936577245386,103.855081226245
Promenade MRT Station,1.29399798636232,103.860350000188
Nicoll Highway MRT Station,1.29976684675139,103.86363696572
Stadium MRT Station,1.3028124684707,103.875337711089
Mountbatten MRT Station,1.30620190525331,103.882528081052
Dakota MRT Station,1.30854798388121,103.889064718377
MacPherson MRT Station,1.32615024457361,103.889298600376
Tai Seng MRT Station,1.33514150139202,103.888389300191
Bartley MRT Station,1.34250117805245,103.880177899184
Lorong Chuan MRT Station,1.35153128621585,103.864812169514
Marymount MRT Station,1.348707263451,103.839423132332
Caldecott MRT Station,1.33724561271722,103.840161782075
Botanic Gardens MRT Station,1.32238699517166,103.815385463093
Farrer Road MRT Station,1.31743915158967,103.807379214161
Holland Village MRT Station,1.31224029631595,103.796399122407
one-north MRT Station,1.29975987493555,103.78745750525
Kent Ridge MRT Station,1.29353349887123,103.784572738173
Haw Par Villa MRT Station,1.28195688684898,103.781988990137
Pasir Panjang MRT Station,1.27621352233766,103.791350313288
Labrador Park MRT Station,1.27236838626952,103.803416232089
Telok Blangah MRT Station,1.27070647717762,103.809761611219
Bayfront MRT Station,1.28187378879209,103.859079764874
Bukit Panjang MRT Station,1.37956121236613,103.761188866252
Cashew MRT Station,1.36981544925552,103.76443921414
Hillview MRT Station,1.36234486803558,103.767418254007
Beauty World MRT Station,1.34090149001429,103.775746717778
King Albert Park MRT Station,1.335893496278,103.783235863233
Sixth Avenue MRT Station,1.33085764536226,103.796906838288
Tan Kah Kee MRT Station,1.32639224146351,103.806548201692
Stevens MRT Station,1.32006555750626,103.826024401924
Rochor MRT Station,1.30385218527656,103.852769428884
Downtown MRT Station,1.27944638178916,103.852840829581
Telok Ayer MRT Station,1.28206894769394,103.848648781083
Fort Canning MRT Station,1.29248194822996,103.844331362465
Bencoolen MRT Station,1.29891843369422,103.850353762717
Jalan Besar MRT Station,1.3051713878069,103.855295713435
Bendemeer MRT Station,1.31367252847691,103.862977620945
Geylang Bahru MRT Station,1.32130110228321,103.871622627142
Mattar MRT Station,1.32687671501334,103.883247509542
Ubi MRT Station,1.32997425973974,103.899226655439
Kaki Bukit MRT Station,1.33496735995428,103.908459338046
Bedok North MRT Station,1.33474211664091,103.91797832995
Bedok Reservoir MRT Station,1.33660782955099,103.932234623286
Tampines West MRT Station,1.34551530560119,103.938436971222
Tampines East MRT Station,1.35619148271544,103.9546344625
Upper Changi MRT Station,1.34173977444995,103.961472788634
Woodlands North MRT Station,1.44829245259621,103.785692682441
Woodlands South MRT Station,1.42739605281442,103.79326432221
Springleaf MRT Station,1.39758106126824,103.817856949947
Lentor MRT Station,1.38550657972169,103.835743809669
Mayflower MRT Station,1.37146318831015,103.836567766945
Bright Hill MRT Station,1.36328318545185,103.832893619992
Upper Thomson MRT Station,1.35441643365401,103.832898468504
